gtin,url,product_name,price,description,error
5011408064841,https://www.tesco.com/groceries/en-GB/products/250746322,L'Oreal Paris Excellence Creme 9.1 Natural Light Ash Blonde Permanent Hair Dye,10,L'Oreal Paris Excellence Creme 9.1 Natural Light Ash Blonde Permanent Hair Dye,
3600524074524,https://www.tesco.com/groceries/en-GB/products/313503635,L'oreal Elvive Bond Repair Pre Shampoo 200ml,15,L'OR/P ELVIVE BOND REPAIR PRE S/POO 200ML,
5011408065046,https://www.tesco.com/groceries/en-GB/products/256386260,L'Oreal Paris Excellence Creme 6.30 Natural Light Golden Brown Permanent Hair Dye,10,L'Oreal Paris Excellence Creme 6.30 Natural Light Golden Brown Permanent Hair Dye,
3600523242641,https://www.tesco.com/groceries/en-GB/products/297631651,L'oreal Paris Age Perfect Golden Age Night Cream 50Ml,20,L'oreal Paris Age Perfect Golden Age Night Cream 50Ml,
5011408039757,https://www.tesco.com/groceries/en-GB/products/251109321,L'oreal Paris Revitalift Eye Cream 15Ml,15,L'oreal Paris Revitalift Eye Cream 15Ml. 15ml size. Anti-Ageing Cream. Eye Contour Cream,
3600524070076,https://www.tesco.com/groceries/en-GB/products/315579046,L'Oreal Paris Revitalift Clincal Vitamin C Brightening Serum Mask 26g,3,LOR/P REVLFT VIT C BRIGHTNG SERUM-MASK 26G,
3600521044094,https://www.tesco.com/groceries/en-GB/products/266379386,L'Oreal Paris Preference 10.21 Stockholm Very Light Pearl Blonde Permanent Hair Dye,12,L'Oreal Paris Preference 10.21 Stockholm Very Light Pearl Blonde Permanent Hair Dye,
5011408062311,https://www.tesco.com/groceries/en-GB/products/252467983,L'Oreal Paris Studio Line Style Rework Fibre Putty 150ml,3.5,L'Oreal Paris Studio Line Style Rework Fibre Putty 150ml. For more style tips check out www.hairstyle.com. Please check back of pack for up to date ingredients,
3600523216093,https://www.tesco.com/groceries/en-GB/products/291300851,Loreal Age Perfect Golden Spf 20 Day Cream 50Ml,20,Loreal Age Perfect Golden Spf 20 Day Cream 50Ml,
3600520297262,https://www.tesco.com/groceries/en-GB/products/252724838,L’Oreal Men Expert Hydra Energetic Anti Fatigue Moisturiser 50Ml,8.25,L’Oreal Men Expert Hydra Energetic Anti Fatigue Moisturiser 50Ml. Anti-fatigue moisturiser with 24hr hydration. Fights 5 signs of fatigue. Enriched with Vitamin C &amp; Magnesium,
3600524125738,https://www.tesco.com/groceries/en-GB/products/315843816,L'Oréal Men Expert Hydra Energetic Vitamin C Serum 30ml,12.75,L'OREAL MEN XPRT HYDRA ENERGETIC VIT C SERUM 30ML,
3600523350148,https://www.tesco.com/groceries/en-GB/products/295025250,L'oreal Paris Wrinkle Expert Night Cream 55+ 50 Ml,5,L'oreal Paris Wrinkle Expert Night Cream 55+ 50 Ml,
3600523997558,https://www.tesco.com/groceries/en-GB/products/314118001,L'Oreal Age Perfect Day Cream SPF 30 50ml,15,L'Oreal Age Perfect Day Crm SPF 30 50ml,
5011408002270,https://www.tesco.com/groceries/en-GB/products/255315433,L'Oreal Paris Elnett Normal Hold Hairspray 200ml,3.75,L'Oreal Paris Elnett Normal Hold Hairspray 200ml,
3600521848920,https://www.tesco.com/groceries/en-GB/products/266792950,L’Oreal Men Expert Fresh Extreme Antiperspirant Deodorant 250Ml,3,L’Oreal Men Expert Fresh Extreme Antiperspirant Deodorant 250Ml. Ultra absorbent technology to combat wetness. Alcohol free. Proven 48hr dry effect,
3600523717491,https://www.tesco.com/groceries/en-GB/products/303675555,L’Oreal Men Expert Hydra. Energetic Face Scrub 100Ml,4.5,L’Oreal Men Expert Hydra. Energetic Face Scrub 100Ml,
3600520987712,https://www.tesco.com/groceries/en-GB/products/261072203,L'Oreal Paris Casting Creme Gloss 400 Dark Brown Semi-Permanent Hair Dye,10,"L'Oreal Paris Casting Creme Gloss 400 Dark Brown Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",
5011408054644,https://www.tesco.com/groceries/en-GB/products/251907488,L'Oreal Paris Preference 4.15 Caracas Intense Deep Brown Permanent Hair Dye,12,L'Oreal Paris Preference 4.15 Caracas Intense Deep Brown Permanent Hair Dye,
3600520987705,https://www.tesco.com/groceries/en-GB/products/261067106,L'Oreal Paris Casting Creme Gloss 316 Plum Semi-Permanent Hair Dye,10,"L'Oreal Paris Casting Creme Gloss 316 Plum Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",
3600524055080,https://www.tesco.com/groceries/en-GB/products/311687212,L’Oreal Paris Age Perfect Golden Age Rosy Oil Serum 30Ml,20,L'Or Paris A/Prf Golden Age Rosy Oil Serum 30ml,
3600523912940,https://www.tesco.com/groceries/en-GB/products/309473387,L'Oreal Paris Excellence 3 Ultra Light Ash Blonde Permanent Hair Dye,10,L'OR/P EXCL PRMT HAIR DYE 03 LGHT A/BLNDE,
3600524041694,https://www.tesco.com/groceries/en-GB/products/311253081,L'oreal Men Expert Hydrating Energetic Moisturiser Spf 15 50Ml,8.95,L'OREAL MEN XPRT HYDRA ENERGETIC MST SPF15 50ML,
3600521719640,https://www.tesco.com/groceries/en-GB/products/265317976,L'oreal Paris Triple Active Day Dry Moisutriser 50Ml,4.5,"L'oreal Paris Triple Active Day Dry Moisutriser 50Ml. Revitalise & protect skin for an improved ability to retain water. Enriched with Vitamin E, ceramide & UV filter to prevent sun’s aging effect. Light &amp; non-greasy to melt into your skin. For dry &amp; sensitive skin",
3600524135645,https://www.tesco.com/groceries/en-GB/products/315460998,L'Oreal Paris Elvive Glycolic Gloss Conditioner 150ml,13,L'Oreal Paris Elvive Glycolic Gloss Conditioner 150ml,
3600524030186,https://www.tesco.com/groceries/en-GB/products/311442911,L'oreal Men Expert Magnesium Hypoallergenic Moisturiser 50Ml,8.25,L'OREAL MEN XPRT MAGNESIUM HYPO MOISTURISER 50ML,
3600523708000,https://www.tesco.com/groceries/en-GB/products/303675532,L'oreal Men Expert Charcoal Face Scrub 100Ml,4.5,L'oreal Men Expert Charcoal Face Scrub 100Ml,
3600520987804,https://www.tesco.com/groceries/en-GB/products/260993658,L'Oreal Paris Casting Creme Gloss 600 Light Brown Semi-Permanent Hair Dye,10,"L'Oreal Paris Casting Creme Gloss 600 Light Brown Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",
5011408027976,https://www.tesco.com/groceries/en-GB/products/259880355,L'Oreal Paris Elnett Normal Hold Hairspray 400ml,8,L'Oreal Paris Elnett Normal Hold Hairspray 400ml,
3600523966776,https://www.tesco.com/groceries/en-GB/products/311274067,L'Oreal Paris Elvive Dream Lengths Heat Slayer Heat Protectant Spray 150ml,3,L'OR/P ELVIVE HEAT PROTECTANT SPRAY 150ML,
5011408030501,https://www.tesco.com/groceries/en-GB/products/250756195,L'oreal Paris Revitalift Day Cream 50Ml,15,L'oreal Paris Revitalift Day Cream 50Ml. 50ml size. For skin type: All Skin Types. L'Oreal,
5011408061567,https://www.tesco.com/groceries/en-GB/products/252223333,L'oreal Paris Age Perfect Cleansing Milk 200Ml,2.5,L'oreal Paris Age Perfect Cleansing Milk 200Ml. Cleanses and smoothes the skin. Enriched with Magnesium + vitamin C. For mature skin,
5011408064896,https://www.tesco.com/groceries/en-GB/products/250037643,L'Oreal Paris Excellence Creme 8 Natural Blonde Permanent Hair Dye,10,L'Oreal Paris Excellence Creme 8 Natural Blonde Permanent Hair Dye,
3600524121815,https://www.tesco.com/groceries/en-GB/products/316176423,L'Oreal Men Expert 5in1 Pure Carbon Shower Gel 1 Litre,5,L'OREAL MEN XPRT 5IN1 PURE CARBON SHOWER GEL 1L,
5011408065077,https://www.tesco.com/groceries/en-GB/products/252197651,L'Oreal Paris Excellence Creme 01 Lightest Natural Blonde Permanent Hair Dye,10,L'Oreal Paris Excellence Creme 01 Lightest Natural Blonde Permanent Hair Dye,
50991297,https://www.tesco.com/groceries/en-GB/products/251040395,L'Oreal Paris Elnett Normal Hold Hairspray 75ml,2.75,L'Oreal Paris Elnett Normal Hold Hairspray 75ml,
3600524043773,https://www.tesco.com/groceries/en-GB/products/314432354,L'Oreal Paris Magic Retouch Permanent 6 Light Brown,10,L'Oreal Magic Retouch Prmt 6 Light Brown,
3600523972111,https://www.tesco.com/groceries/en-GB/products/311215138,L'oreal Paris Revitalift Fragrance Free Hydrating Cream 50Ml,15,L'Oreal Paris Revitalift F/F Hydra Cream 50ml,
3600523716470,https://www.tesco.com/groceries/en-GB/products/303718575,L'oreal Paris Revitalift Ginseng Glow Day Cream 50Ml,15,L'oreal Paris Revitalift Ginseng Glow Day Cream 50Ml,
3600523335671,https://www.tesco.com/groceries/en-GB/products/295035818,L'Oreal Paris Preference 74 Dublin Mango Copper Permanent Hair Dye,12,L'Oreal Paris Preference 74 Dublin Mango Copper Permanent Hair Dye,
3600523192694,https://www.tesco.com/groceries/en-GB/products/291570432,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Dark Brown 75ml,7,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Dark Brown 75ml,
3600523873845,https://www.tesco.com/groceries/en-GB/products/309495234,L'oreal Paris Revitalift Filler Anti Wrinkle Serum 30Ml,25,L'Oreal Paris Revlft Filler A/W Serum 30ml,
5011408054415,https://www.tesco.com/groceries/en-GB/products/251551026,L'oreal Paris Age Perfect Rehydrating Night Cream 50Ml,15,"L'oreal Paris Age Perfect Rehydrating Night Cream 50Ml. Anti-sagging, anti-age spots. Enriched with Soya peptides + melanin-block. For mature skin",
3600522634133,https://www.tesco.com/groceries/en-GB/products/284744232,L’Oreal Men Expert Thermic Resist Resist Deo 250Ml,3,L’Oreal Men Expert Thermic Resist Resist Deo 250Ml,
3600524015213,https://www.tesco.com/groceries/en-GB/products/311280177,L'Oreal Paris Preference Vivids 9.11 Smokey Grey Permanent Hair Dye,9,L'OREAL PARIS PREFERENCE SMOKEY GREY,
3600523999491,https://www.tesco.com/groceries/en-GB/products/311210973,L'Oreal Paris Excellence Universal Nudes 7U Blonde Permanent Hair Dye,11,L'OREAL PARIS EXCEL UNIVERSAL NUDES BLONDE,
3600524074807,https://www.tesco.com/groceries/en-GB/products/313605820,L'oreal Elvive Bond Repair Conditioner 150ml,13,L'OR/P ELVIVE BOND REPAIR COND 150ML,
