url,product_name,price,description,error
https://www.tesco.com/groceries/en-GB/products/260993658,L'Oreal Paris Casting Creme Gloss 600 Light Brown Semi-Permanent Hair Dye,10.0,"L'Oreal Paris Casting Creme Gloss 600 Light Brown Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",
https://www.tesco.com/groceries/en-GB/products/259880355,L'Oreal Paris Elnett Normal Hold Hairspray 400ml,8.0,L'Oreal Paris Elnett Normal Hold Hairspray 400ml,
https://www.tesco.com/groceries/en-GB/products/311274067,L'Oreal Paris Elvive Dream Lengths Heat Slayer Heat Protectant Spray 150ml,3.0,L'OR/P ELVIVE HEAT PROTECTANT SPRAY 150ML ,
https://www.tesco.com/groceries/en-GB/products/250756195,L'oreal Paris Revitalift Day Cream 50Ml,15.0,L'oreal Paris Revitalift Day Cream 50Ml. 50ml size. For skin type: All Skin Types. L'Oreal,
https://www.tesco.com/groceries/en-GB/products/252223333,L'oreal Paris Age Perfect Cleansing Milk 200Ml,2.5,L'oreal Paris Age Perfect Cleansing Milk 200Ml. Cleanses and smoothes the skin. Enriched with Magnesium + vitamin C. For mature skin,
https://www.tesco.com/groceries/en-GB/products/250037643,L'Oreal Paris Excellence Creme 8 Natural Blonde Permanent Hair Dye,10.0,L'Oreal Paris Excellence Creme 8 Natural Blonde Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/316176423,L'Oreal Men Expert 5in1 Pure Carbon Shower Gel 1 Litre,5.0,L'OREAL MEN XPRT 5IN1 PURE CARBON SHOWER GEL 1L ,
https://www.tesco.com/groceries/en-GB/products/252197651,L'Oreal Paris Excellence Creme 01 Lightest Natural Blonde Permanent Hair Dye,10.0,L'Oreal Paris Excellence Creme 01 Lightest Natural Blonde Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/251040395,L'Oreal Paris Elnett Normal Hold Hairspray 75ml,2.75,L'Oreal Paris Elnett Normal Hold Hairspray 75ml,
https://www.tesco.com/groceries/en-GB/products/314432354,L'Oreal Paris Magic Retouch Permanent 6 Light Brown,10.0,L'Oreal Magic Retouch Prmt 6 Light Brown ,
https://www.tesco.com/groceries/en-GB/products/311215138,L'oreal Paris Revitalift Fragrance Free Hydrating Cream 50Ml,15.0,L'Oreal Paris Revitalift F/F Hydra Cream 50ml ,
https://www.tesco.com/groceries/en-GB/products/303718575,L'oreal Paris Revitalift Ginseng Glow Day Cream 50Ml,15.0,L'oreal Paris Revitalift Ginseng Glow Day Cream 50Ml,
https://www.tesco.com/groceries/en-GB/products/295035818,L'Oreal Paris Preference 74 Dublin Mango Copper Permanent Hair Dye,12.0,L'Oreal Paris Preference 74 Dublin Mango Copper Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/291570432,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Dark Brown 75ml,7.0,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Dark Brown 75ml,
https://www.tesco.com/groceries/en-GB/products/309495234,L'oreal Paris Revitalift Filler Anti Wrinkle Serum 30Ml,25.0,L'Oreal Paris Revlft Filler A/W Serum 30ml ,
https://www.tesco.com/groceries/en-GB/products/251551026,L'oreal Paris Age Perfect Rehydrating Night Cream 50Ml,15.0,"L'oreal Paris Age Perfect Rehydrating Night Cream 50Ml. Anti-sagging, anti-age spots. Enriched with Soya peptides + melanin-block. For mature skin",
https://www.tesco.com/groceries/en-GB/products/284744232,L’Oreal Men Expert Thermic Resist Resist Deo 250Ml,3.0,L’Oreal Men Expert Thermic Resist Resist Deo 250Ml,
https://www.tesco.com/groceries/en-GB/products/311280177,L'Oreal Paris Preference Vivids 9.11 Smokey Grey Permanent Hair Dye,9.0,L'OREAL PARIS PREFERENCE SMOKEY GREY ,
https://www.tesco.com/groceries/en-GB/products/311210973,L'Oreal Paris Excellence Universal Nudes 7U Blonde Permanent Hair Dye,11.0,L'OREAL PARIS EXCEL UNIVERSAL NUDES BLONDE ,
https://www.tesco.com/groceries/en-GB/products/313605820,L'oreal Elvive Bond Repair Conditioner 150ml,13.0,L'OR/P ELVIVE BOND REPAIR COND 150ML ,
